fecha,fuente,titular,contenido,impacto_cultivos,severidad,paises_afectados,categoria,id_noticia
2021-01-01,Bloomberg Commodities,Nueva política agrícola en Canadá busca mejorar sostenibilidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,['Australia'],politica,NEWS5336
2021-01-11,Dairy Reporter,Ola de calor reduce rendimientos de Arroz,Eventos climáticos extremos están afectando la producción de arroz en Canadá. Los agricultores reportan pérdidas del 21% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Arroz'],baja,"['India', 'Argentina', 'Rusia']",clima,NEWS8360
2021-01-19,World Grain,Sequía afecta proyecciones de cosecha en Alemania,Eventos climáticos extremos están afectando la producción de maíz en Alemania. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Maíz'],alta,"['Argentina', 'México']",clima,NEWS6016
2021-02-13,Farm Journal,Nueva política agrícola en Argentina busca mejorar sostenibilidad,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,"['India', 'México', 'Nueva Zelanda']",comercio,NEWS5711
2021-03-10,Reuters Agricultura,Demanda china impulsa mercado de carne_bovina,El mercado internacional de carne_bovina muestra una tendencia bajando. Los precios han bajando un 9% en el último mes. Rusia se posiciona como un actor clave en este mercado.,['carne_bovina'],alta,"['India', 'Argentina', 'Nueva Zelanda']",mercado,NEWS8036
2021-03-13,AgriCensus,Nueva política agrícola en India busca mejorar sostenibilidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],media,['Brasil'],comercio,NEWS3127
2021-04-12,Dairy Reporter,Nueva política agrícola en China busca mejorar sostenibilidad,El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],baja,"['China', 'Nueva Zelanda', 'Rusia']",comercio,NEWS7808
2021-04-18,World Grain,Demanda china impulsa mercado de soja,El mercado internacional de soja muestra una tendencia bajando. Los precios han bajando un 14% en el último mes. España se posiciona como un actor clave en este mercado.,['soja'],media,"['México', 'España']",mercado,NEWS9989
2021-05-09,Reuters Agricultura,Sequía afecta proyecciones de cosecha en Estados Unidos,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 9% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,['Soja'],media,['Brasil'],clima,NEWS8393
2021-05-20,Reuters Agricultura,Nueva política agrícola en Italia busca mejorar sostenibilidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,['todos'],alta,"['México', 'Brasil']",sanidad,NEWS8884
