fecha,Región,País,Cultivo,Plaga detectada,Severidad,Área afectada,Tratamiento aplicado,Eficacia,Pérdida estimada,Enfermedad detectada
2020-01-01,Región Principal,China,Arroz,Barrenador del tallo,Media,2745ha,Químico (Epoxiconazole),93%,26%,Desconocido
2020-01-13,Región Principal,Francia,Caña de azúcar,Chinche marrón,Crítica,3943ha,Cultural (Control manual),97%,17%,Desconocido
2020-01-15,Cerrado,Brasil,Maíz,Oruga militar tardía,Alta,10ha,Cultural (Fecha de siembra ajustada),82%,38%,Desconocido
2020-01-18,Mata Atlántica,Brasil,Maíz,Barrenador del tallo,Crítica,3064ha,Biológico (Trichogramma spp.),83%,3%,Desconocido
2020-01-23,Patagonia,Argentina,Soja,Langosta,Media,995ha,Biológico (Trichogramma spp.),75%,2%,Desconocido
2020-01-25,Pampas,Brasil,Arroz,Desconocido,Alta,2222ha,Biológico (Nematodos entomopatógenos),88%,32%,Podredumbre
2020-01-27,Corn Belt,Estados Unidos,Arroz,Ácaro,Baja,314ha,Físico (Barreras físicas),96%,31%,Desconocido
2020-02-03,Corn Belt,Estados Unidos,Maíz,Mosca blanca,Alta,3935ha,Químico (Lambda-cihalotrin),70%,19%,Desconocido
2020-02-17,Coastal,India,Arroz,Desconocido,Crítica,4588ha,Físico (Trampas de feromonas),92%,5%,Piricularia
2020-02-22,Región Principal,Francia,Soja,Langosta,Media,3067ha,Cultural (Control manual),87%,36%,Desconocido
2020-02-25,Región Principal,Francia,Girasol,Ácaro,Alta,3839ha,Cultural (Fecha de siembra ajustada),74%,33%,Desconocido
2020-03-07,Región Principal,Alemania,Girasol,Mosca blanca,Media,2736ha,Cultural (Control manual),84%,30%,Desconocido
2020-03-20,California,Estados Unidos,Maíz,Chinche marrón,Alta,4435ha,Químico (Imidacloprid),96%,15%,Desconocido
2020-04-03,Región Principal,Alemania,Soja,Desconocido,Baja,4266ha,Biológico (Nematodos entomopatógenos),70%,18%,Podredumbre
2020-04-18,California,Estados Unidos,Arroz,Pulgón,Alta,4502ha,Físico (Control térmico),91%,27%,Desconocido
2020-04-22,Región Principal,Francia,Algodón,Langosta,Media,1552ha,Biológico (Nematodos entomopatógenos),95%,8%,Desconocido
2020-04-30,California,Estados Unidos,Soja,Ácaro,Alta,1724ha,Biológico (Bacillus thuringiensis),70%,3%,Desconocido
2020-05-01,Región Principal,China,Soja,Gusano cogollero,Baja,2086ha,Físico (Trampas de feromonas),83%,24%,Desconocido
2020-05-12,Región Principal,Alemania,Maíz,Pulgón,Media,2498ha,Físico (Control térmico),88%,32%,Desconocido
2020-05-23,Pampa Húmeda,Argentina,Caña de azúcar,Pulgón,Baja,2105ha,Físico (Barreras físicas),94%,36%,Desconocido
2020-06-05,Mata Atlántica,Brasil,Algodón,Desconocido,Baja,3122ha,Biológico (Trichogramma spp.),94%,7%,Oídio
2020-06-13,Región Principal,China,Café,Gusano cogollero,Crítica,3121ha,Cultural (Rotación de cultivos),89%,32%,Desconocido
2020-06-14,Región Principal,Francia,Cebada,Ácaro,Baja,94ha,Químico (Clorantraniliprol),86%,30%,Desconocido
2020-06-16,California,Estados Unidos,Caña de azúcar,Ácaro,Baja,2084ha,Biológico (Nematodos entomopatógenos),86%,33%,Desconocido
2020-06-19,Wheatbelt,Australia,Cebada,Pulgón,Crítica,908ha,Químico (Clorantraniliprol),76%,32%,Desconocido
2020-06-27,Coastal,India,Maíz,Desconocido,Crítica,369ha,Cultural (Rotación de cultivos),77%,23%,Roya de la hoja
2020-07-11,Tasmania,Australia,Arroz,Desconocido,Baja,1357ha,Químico (Imidacloprid),93%,40%,Roya amarilla
2020-07-21,Noroeste,Argentina,Caña de azúcar,Ácaro,Baja,4312ha,Cultural (Control manual),87%,8%,Desconocido
2020-07-28,Queensland Coast,Australia,Maíz,Ácaro,Baja,543ha,Biológico (Trichogramma spp.),98%,24%,Desconocido
2020-08-05,Región Principal,Alemania,Café,Desconocido,Baja,207ha,Químico (Clorantraniliprol),88%,13%,Roya de la hoja
2020-08-16,Deccan,India,Caña de azúcar,Langosta,Baja,1529ha,Físico (Trampas de feromonas),87%,4%,Desconocido
2020-08-20,Deccan,India,Trigo,Ácaro,Baja,3056ha,Biológico (Nematodos entomopatógenos),95%,2%,Desconocido
2020-08-22,Región Principal,China,Té,Chinche marrón,Alta,2006ha,Físico (Trampas de feromonas),76%,32%,Desconocido
2020-08-30,Murray-Darling Basin,Australia,Arroz,Gusano cogollero,Media,1050ha,Químico (Clorantraniliprol),85%,34%,Desconocido
2020-09-01,Pacific Northwest,Estados Unidos,Arroz,Desconocido,Media,2160ha,Físico (Trampas de feromonas),94%,29%,Antracnosis
